p	    p/s	    p/c     p/c     ls p/s	ls p/c 	ls p/c 
                static  dynamic	        static  dynamic
                
19350	22502	17035	21021	23393	22871	22048
19887	23159	16623	19743	24030	22500	22662
18532	22584	16135	19152	23320	22212	23180
20354	19627	15785	20971	22659	22525	22168
20733	22026	16983	20729	23328	21745	22328
19225	24042	17105	20995	24523	22641	23526
21525	24459	17144	21970	25012	23101	24726
19909	22554	15587	19724	23047	22032	22028
19453	22737	18227	20777	23950	23237	23194
21291	23445	16813	21118	24174	23472	23184
38656	42231	34961	38631	42534	41822	39064
37351	40923	33591	38090	42206	41615	41012
38308	41056	33129	38828	41659	40887	41041
39519	43503	37783	40806	44937	44531	42609
34688	40885	34097	37846	41982	41116	40960
39551	42030	33121	38797	42535	41263	41874
38138	40309	33185	38587	41479	40478	40792
39365	41895	33796	40703	44530	42897	43169
38652	42169	34357	39261	43022	42256	41825
40515	43912	37290	41628	44511	43366	42058
55983	58815	53211	57251	59799	58790	58805
58509	60952	56777	59929	61619	61213	61510
55915	59125	53262	56722	59484	58786	58815
56140	59997	55447	58305	60323	59794	59717
56372	60746	53036	57658	61029	60029	59754
56294	57858	52421	56848	58848	58384	58254
59033	60776	54539	58309	61170	59973	60038
60015	59696	54520	58950	61425	60234	59395
55894	58264	51065	56667	58811	58439	58722
56824	59650	53292	57593	59838	58964	58337
